sr,name,country,role,capped,base,category,last_ipl_team,highlights,rating,matches,runs,strike_rate,wickets,economy,average
1,Jos Buttler,England,WICKETKEEPER,Capped,2 Cr,,Gujarat Titans,England 2019 ODI & 2022 T20 World Cup winner | IPL 2022 Orange Cap (863 runs) | Explosive opener & wicketkeeper,90,,,,,,
2,Shreyas Iyer,India,BATTER,Capped,2 Cr,,Punjab Kings,Captained KKR to the IPL 2024 title | Led PBKS to the IPL 2025 final | Costliest buy of IPL 2025 auction (26.75 Cr),85,,,,,,
3,Rishabh Pant,India,BATTER,Capped,2 Cr,,Lucknow Super Giants,"Costliest buy in IPL history (27 Cr, 2025) | Explosive India keeper-batter | LSG captain",85,,,,,,
4,Kagiso Rabada,South Africa,BOWLER,Capped,2 Cr,,Gujarat Titans,South Africa's pace spearhead | Former IPL Purple Cap contender | Elite new-ball & death bowler,80,,,,,,
5,Arshdeep Singh,India,BOWLER,Capped,2 Cr,,Punjab Kings,India's left-arm death-overs specialist | Powerplay & yorker expert,85,,,,,,
6,Mitchell Starc,Australia,BOWLER,Capped,2 Cr,,Delhi Capitals,Australia 2015 & 2023 World Cup winner | Once the most expensive IPL buy | Lethal new-ball swing bowler,90,,,,,,
7,Yuzvendra Chahal,India,BOWLER,Capped,2 Cr,,Punjab Kings,IPL's all-time leading wicket-taker | IPL 2022 Purple Cap winner | Wrist-spin match-winner,95,,,,,,
8,Liam Livingstone,England,ALL-ROUNDER,Capped,2 Cr,,Royal Challengers Bengaluru,England power-hitting all-rounder | Dual-spin bowling option | 2022 T20 World Cup winner,80,,,,,,
9,David Miller,South Africa,BATTER,Capped,1.50 Cr,,Lucknow Super Giants,South Africa's premier finisher | 'Killer Miller' at the death | Big-match six-hitter,80,,,,,,
10,KL Rahul,India,WICKETKEEPER,Capped,2 Cr,,Delhi Capitals,India top-order batter & keeper | Former LSG & Punjab captain | Consistent IPL run-scorer,90,,,,,,
11,Mohammad Shami,India,BOWLER,Capped,2 Cr,,Sunrisers Hyderabad,India's premier seamer | 2023 ODI World Cup leading wicket-taker (24) | Deadly with the new & old ball,,,,,,,
12,Mohammad Siraj,India,BOWLER,Capped,2 Cr,,Gujarat Titans,India new-ball spearhead | Aggressive powerplay wicket-taker | 2024 T20 World Cup winner,85,,,,,,
13,Harry Brook,England,BATTER,Capped,2 Cr,,Delhi Capitals,England's fast-rising top-order star | Fearless middle-order stroke-maker,70,,,,,,
14,Devon Conway,New Zealand,BATTER,Capped,2 Cr,,Chennai Super Kings,CSK 2023 title-winning opener | New Zealand top-order mainstay,75,,,,,,
15,Jake Fraser-Mcgurk,Australia,BATTER,Capped,2 Cr,,Delhi Capitals,Australia's explosive young opener | Record-fast IPL fifties | Powerplay destroyer,75,,,,,,
16,Aiden Markram,South Africa,BATTER,Capped,2 Cr,,Lucknow Super Giants,South Africa T20I captain | 2024 T20 World Cup runner-up captain | Elegant top-order batter,75,,,,,,
17,Devdutt Padikkal,India,BATTER,Capped,2 Cr,,Royal Challengers Bengaluru,Stylish India left-hand top-order batter | RCB & LSG top-order option,85,,,,,,
18,Rahul Tripathi,India,BATTER,Capped,75 L,,Chennai Super Kings,Versatile India top-order batter | Flexible batting-order role,65,,,,,,
