player_name,base_price,role,nationality,set,image_file,image_source,source_url
Abhishek Sharma,2 Cr,All Rounders,Indian,Set 1,abhishek-sharma.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/212.png
Aiden Markram,2 Cr,Foreign Batters,Foreign,Set 1,aiden-markram.png,avatar,
Arshdeep Singh,2 Cr,Indian Bowlers,Indian,Set 1,arshdeep-singh.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/125.png
Bhuvneshwar Kumar,2 Cr,Indian Bowlers,Indian,Set 1,bhuvneshwar-kumar.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/15.png
Cameron Green,2 Cr,Foreign Batters,Foreign,Set 1,cameron-green.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/550.png
David Miller,2 Cr,Foreign Batters,Foreign,Set 1,david-miller.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/128.png
Glenn Phillips,2 Cr,Foreign Batters,Foreign,Set 1,glenn-phillips.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/635.png
Hardik Pandya,2 Cr,All Rounders,Indian,Set 1,hardik-pandya.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/54.png
Heinrich Klaseen,2 Cr,Wicket Keepers,Foreign,Set 1,heinrich-klaseen.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/202.png
Ishan Kishan,2 Cr,Wicket Keepers,Indian,Set 1,ishan-kishan.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/164.png
Jamie Overton,2 Cr,All Rounders,Foreign,Set 1,jamie-overton.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/1216.png
Jason Holder,2 Cr,All Rounders,Foreign,Set 1,jason-holder.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/263.png
Jasprit Bumrah,2 Cr,Indian Bowlers,Indian,Set 1,jasprit-bumrah.png,repo-iplt20,https://documents.iplt20.com/ipl/IPLHeadshot2026/9.png
